date,total_messages,kurd_mentions,percent,percent_ma7,volume_ma7,scaled_volume_ma7,trend_delta
2024-12-22,1300,41,3.1538461538461537,2.454035360358817,615.4285714285714,1.4159186399626864,1.0381167203961308
2024-12-23,882,43,4.875283446712018,2.98790279815856,653.5714285714286,1.5036740431358613,1.484228755022699
2024-12-24,2374,79,3.3277169334456613,3.1687401214932125,978.8571428571429,2.2520600095228245,0.916680111970388
2024-12-25,3361,129,3.8381434096994944,3.535908779103948,1290.0,2.9679074556320932,0.5680013234718548
2024-12-26,878,5,0.5694760820045558,3.420895298428114,1373.857142857143,3.1608378738442795,0.2600574245838345
2024-12-27,756,32,4.232804232804233,3.6326543089522096,1409.142857142857,3.242019838577516,0.3906344703746938
2024-12-28,1063,49,4.609595484477893,3.5152665347128584,1516.2857142857142,3.488523780075198,0.026742754637660404
2024-12-29,2460,105,4.2682926829268295,3.6744731817243834,1682.0,3.8697832095916134,-0.19531002786722995
2024-12-30,916,21,2.2925764192139737,3.305515034938949,1686.857142857143,3.880958054939508,-0.5754430200005594
2024-12-31,915,8,0.8743169398907104,2.9550293215739556,1478.4285714285713,3.401425720746017,-0.4463963991720612
2025-01-01,2321,28,1.2063765618267988,2.5790626290207137,1329.857142857143,3.059606921869231,-0.4805442928485175
2025-01-02,3239,70,2.1611608521148504,2.8064461676078984,1667.142857142857,3.8356013297039344,-1.029155162096036
2025-01-03,1483,43,2.899527983816588,2.615978132038235,1771.0,4.074545816995688,-1.4585676849574525
2025-01-04,1863,30,1.6103059581320451,2.187508199703114,1885.2857142857142,4.337483354593215,-2.149975154890101
2025-01-05,1390,73,5.251798561151079,2.3280090394494346,1732.4285714285713,3.985804398056522,-1.6577953586070873
2025-01-06,1377,38,2.759622367465505,2.394729889199654,1798.2857142857142,4.137322154097097,-1.7425922648974432
2025-01-07,1455,19,1.3058419243986255,2.4563763155579275,1875.4285714285713,4.3148049919754285,-1.858428676417501
2025-01-08,816,8,0.9803921568627451,2.424092829134491,1660.4285714285713,3.8201537493700797,-1.3960609202355885
2025-01-09,2340,18,0.7692307692307693,2.2252456744367657,1532.0,3.5246776914948583,-1.2994320170580926
2025-01-10,2597,76,2.9264536003080477,2.229092191078402,1691.142857142857,3.8908182125994153,-1.6617260215210132
2025-01-11,3422,96,2.805376972530684,2.3998166217067793,1913.857142857143,4.4032177389925975,-2.003401117285818
2025-01-12,1378,19,1.3788098693759072,1.8465325228817548,1912.142857142857,4.399273675928634,-2.5527411530468793
2025-01-13,1971,31,1.5728056823947234,1.6769872821573573,1997.0,4.594504797594799,-2.9175175154374413
2025-01-14,967,24,2.4819027921406414,1.8449959775490739,1927.2857142857142,4.434112899660307,-2.5891169221112333
2025-01-15,2136,46,2.153558052434457,2.01259110548789,2115.8571428571427,4.867959836696227,-2.855368731208337
2025-01-16,2623,58,2.211208539839878,2.2185879298606195,2156.285714285714,4.960973990621353,-2.7423860607607335
2025-01-17,1613,11,0.6819590824550527,1.8979458558816205,2015.7142857142858,4.637560819376394,-2.7396149634947733
2025-01-18,1262,12,0.9508716323296355,1.633016521567185,1707.142857142857,3.927629467863069,-2.294612946295884
2025-01-19,2748,63,2.2925764192139737,1.7635546001154803,1902.857142857143,4.377910000998836,-2.6143554008833556
2025-01-20,2201,63,2.862335302135393,1.9477731172212902,1935.7142857142858,4.453504543058124,-2.505731425836834
2025-01-21,3091,35,1.132319637657716,1.7549755237237292,2239.1428571428573,5.151603705379561,-3.3966281816558315
2025-01-22,3635,90,2.4759284731774414,1.8010284409727273,2453.285714285714,5.644282916452927,-3.8432544754802
2025-01-23,608,6,0.9868421052631579,1.62611895031891,2165.4285714285716,4.982008993629155,-3.3558900433102457
2025-01-24,1202,33,2.7454242928452577,1.920899694660368,2106.714285714286,4.846924833688425,-2.9260251390280576
2025-01-25,2313,48,2.0752269779507135,2.0815218868919505,2256.8571428571427,5.192359023707176,-3.110837136815226
2025-01-26,1505,24,1.5946843853820598,1.9818230249159627,2079.285714285714,4.783819824665018,-2.8019967997490554
2025-01-27,556,6,1.079136690647482,1.7270803661319756,1844.2857142857142,4.2431545129801025,-2.516074146848127
2025-01-28,267,2,0.7490636704119851,1.6723295136682998,1440.857142857143,3.31498500526083,-1.6426554915925302
2025-01-29,155,0,0.0,1.3186254460715223,943.7142857142857,2.1712067167115845,-0.8525812706400622
2025-01-30,539,3,0.5565862708719852,1.2571603268727833,933.8571428571429,2.148528354093798,-0.8913680272210147
2025-01-31,43,0,0.0,0.8649568564663179,768.2857142857143,1.7675975964993798,-0.9026407400330618
2025-02-01,730,31,4.2465753424657535,1.1751494799684665,542.1428571428571,1.2473099439782718,-0.07216046400980525
2025-02-02,77,3,3.896103896103896,1.503923695785872,338.14285714285717,0.777966439366685,0.725957256419187
2025-02-03,61,5,8.19672131147541,2.52072149876129,267.42857142857144,0.6152738379782148,1.9054476607830753
2025-02-04,84,2,2.380952380952381,2.753848457409918,241.28571428571428,0.5551268762527802,2.198721581157138
2025-02-05,239,20,8.368200836820083,3.949305719812787,253.28571428571428,0.5827353177005207,3.3665704021122664
2025-02-06,104,1,0.9615384615384616,4.00715603276514,191.14285714285714,0.439763031631865,3.5673930011332753
2025-02-07,75,0,0.0,4.00715603276514,195.71428571428572,0.4502805331357661,3.556875499629374
2025-02-08,251,3,1.1952191235059761,3.5712480014851726,127.28571428571429,0.29284668249924645,3.2784013189859262
2025-02-09,626,12,1.9169329073482428,3.2885092888057934,205.71428571428572,0.4732875676755498,2.8152217211302437
2025-02-10,248,7,2.8225806451612905,2.520774907903777,232.42857142857142,0.5347492170889718,1.986025690814805
2025-02-11,371,7,1.8867924528301887,2.450180632457749,273.42857142857144,0.6290780587020849,1.821102573755664
2025-02-12,534,13,2.4344569288389515,1.6025029313175874,315.57142857142856,0.7260362756911731,0.8764666556264142
2025-02-13,97,2,2.0618556701030926,1.7596911039696774,314.57142857142856,0.7237355722371948,1.0359555317324827
2025-02-14,306,3,0.9803921568627451,1.899747126378641,347.57142857142856,0.799658786218481,1.10008834016016
2025-02-15,138,3,2.1739130434782608,2.039560543517539,331.42857142857144,0.7625188590328302,1.2770416844847086
